group,names,scores,logfoldchanges,pvals,pvals_adj
12,GAPDH,16.120985,,1.816880709292434e-58,1.9246580729676613e-55
12,CENPF,15.978764,,1.7967448886611303e-57,1.830122880246643e-54
12,AGR2,15.878338,,8.951965203457317e-57,8.466960517255718e-54
12,S100P,15.825225,,2.084535525113604e-56,1.8401584770527858e-53
12,CD24,15.792688,,3.493683559895524e-56,2.984620055377844e-53
12,ENO1,15.76838,,5.134973031101594e-56,4.2496715869582345e-53
12,GPX2,15.66162,,2.767553686796965e-55,2.155680126101295e-52
12,PIGR,15.655805,,3.0325170387230248e-55,2.2945756781857678e-52
12,HMGN2,15.586123,,9.045915192294925e-55,6.654527001042959e-52
12,TXN,15.522811,,2.431600779242546e-54,1.6511816265815474e-51
12,PTMA,15.37721,,2.327652380102437e-53,1.4676956662441152e-50
12,TSPAN8,14.920376,,2.4290220555356335e-50,1.3686764063138337e-47
12,EPCAM,14.905243,,3.047029514393278e-50,1.681135054784941e-47
12,PPIA,14.849846,,6.97290147167568e-50,3.7686397892732047e-47
12,TPX2,14.802539,,1.4105546204375825e-49,7.471143602609699e-47
12,ELF3,14.5459585,,6.19570312568196e-48,3.2172707034791244e-45
12,MUC1,14.386391,,6.299914297850654e-47,3.0896413027773863e-44
12,S100A14,14.341991,,1.1957396293975766e-46,5.757595019152004e-44
12,ASPM,14.309852,,1.8991863461306177e-46,8.718235249868428e-44
12,ANXA4,14.268345,,3.4466251283016862e-46,1.5470673436070094e-43
12,CYSTM1,14.144682,,2.0142544490555982e-45,8.744836159727773e-43
12,NQO1,14.016631,,1.2333229542302616e-44,5.268079322077422e-42
12,ATP1B1,13.997969,,1.6038874586206404e-44,6.742182788357209e-42
12,S100A10,13.9967,,1.6327788054454185e-44,6.756387672595472e-42
12,NUCKS1,13.876294,,8.818654275297778e-44,3.4857376294434484e-41
12,SLC12A2,13.807116,,2.308920450110738e-43,8.861904388446765e-41
12,CYC1,13.741355,,5.739160920022688e-43,2.171288552070869e-40
12,S100A16,13.734569,,6.3030168996069935e-43,2.3510253035534085e-40
12,HMGA1,13.619779,,3.0549428918418204e-42,1.1082746932143415e-39
12,ITGA6,13.574632,,5.6627913266461e-42,2.0265905770752522e-39
12,ECT2,13.486834,,1.8695937731606466e-41,6.514796301922816e-39
12,SFN,13.480849,,2.0276043227498378e-41,6.973642244075838e-39
12,DSTN,13.462455,,2.6012956967497e-41,8.720267586964849e-39
12,GABRP,13.401022,,5.963662301712731e-41,1.9741958592032284e-38
12,GPRC5A,13.39039,,6.881798275478013e-41,2.2500081941911634e-38
12,SPTBN1,13.376632,,8.281649903800323e-41,2.6670094551967914e-38
12,LGALS4,13.375943,,8.358637041926281e-41,2.6670094551967914e-38
12,MDK,13.341243,,1.3321985433798418e-40,4.2000730981343277e-38
12,MAL2,13.327868,,1.5938593176850469e-40,4.965903095323894e-38
12,EIF5A,13.215262,,7.163618374894524e-40,2.1558421070719512e-37
13,AGR2,16.210602,,4.24392565006517e-59,1.605598328438227e-55
13,CYSTM1,16.09433,,2.795834068062293e-58,7.40420736244937e-55
13,KRT18,15.691362,,1.732961616412527e-55,3.8245018739544125e-52
13,KRT8,15.177938,,4.950990829992752e-52,8.194818134418629e-49
13,KRT19,14.796978,,1.5321363544986553e-49,2.2541981708993273e-46
13,SPINK1,14.583606,,3.571418112172203e-48,4.50389837450745e-45
13,CD24,14.455836,,2.3031582151429156e-47,2.5414391254845765e-44
13,LYZ,13.473637,,2.2357622134031713e-41,1.7414614911045937e-38
13,TSPAN8,13.25505,,4.218353510833958e-40,3.019315027767992e-37
13,CST3,12.775035,,2.260460898316336e-37,1.4253282373836077e-34
13,CLDN18,12.590727,,2.3747593102711857e-36,1.33810108114706e-33
13,SMIM22,12.555392,,3.713361688895769e-36,2.0487699501463884e-33
13,MT1G,12.409145,,2.331270519246264e-35,1.1648874936075247e-32
13,LGALS3,12.343068,,5.30936143304906e-35,2.510853907704254e-32
13,PIGR,12.123072,,7.971484556737063e-34,3.4445018819790513e-31
13,MUC1,12.046731,,2.017947875571505e-33,8.350205248243775e-31
13,PGC,11.863764,,1.8258026596617516e-32,6.907533119403167e-30
13,EPCAM,11.822999,,2.968939569535476e-32,1.1074144594367325e-29
13,FXYD3,11.65208,,2.239258860796306e-31,7.70159641694397e-29
13,MT1E,11.533429,,8.950603209812084e-31,3.0004914532335876e-28
13,CA2,11.417357,,3.4249097181931335e-30,1.1061205374013263e-27
13,NQO1,11.076796,,1.6258780416245769e-28,4.4561229789610863e-26
13,CXCL17,11.068256,,1.7884663239251732e-28,4.8330564955622813e-26
13,GPX2,10.941571,,7.292508622663559e-28,1.8934069201372454e-25
13,S100P,10.894312,,1.2269015491845268e-27,3.0652862006654553e-25
13,DSTN,10.637252,,1.9993894801005302e-26,4.727663535848423e-24
13,STARD10,10.551967,,4.974476065777788e-26,1.1556056986841505e-23
13,ALDH1A1,10.540199,,5.637940365488977e-26,1.2871515060279704e-23
13,S100A6,10.513444,,7.490682770260617e-26,1.6955192461949736e-23
13,GSTP1,10.406778,,2.3090287703484713e-25,5.0958340770948807e-23
13,ELF3,10.228376,,1.4797943137683775e-24,3.0145686778098415e-22
13,ANXA10,10.0773115,,6.960429653411985e-24,1.3859628459496962e-21
13,VSIG2,10.066823,,7.743884203314957e-24,1.5304573534058956e-21
13,IGFBP2,10.051508,,9.047182014662444e-24,1.761739127164011e-21
13,S100A14,9.987632,,1.7265679381185238e-23,3.242886432992402e-21
13,PPDPF,9.979607,,1.8720823661888343e-23,3.491433612942176e-21
13,CLU,9.938154,,2.840412988610594e-23,5.187769460508577e-21
13,CTSE,9.92402,,3.273029056218097e-23,5.936960855878347e-21
13,SH3BGRL2,9.865458,,5.876607835575451e-23,1.0306636113214878e-20
13,LGALS4,9.486593,,2.38707160129838e-21,3.926510386160559e-19
13,MAL2,9.470185,,2.7934803270465824e-21,4.538634325225438e-19
13,GATA6,9.420162,,4.503927085221071e-21,7.142365329216145e-19
13,C19orf33,9.385799,,6.244123591557158e-21,9.614135178791175e-19
13,TFF1,9.373489,,7.017369857191508e-21,1.0742254677919231e-18
13,AC020656.1,9.349977,,8.766685856304052e-21,1.3191371677982968e-18
13,DSP,9.227585,,2.768033833004789e-20,3.98401304344923e-18
13,TFF2,9.163406,,5.028435033729157e-20,7.121285828783383e-18
13,AKR1C3,9.125989,,7.108407626571591e-20,1.0013402083749758e-17
13,ANXA4,9.117293,,7.702391430137637e-20,1.079272128276905e-17
